tweet_content,created_at,retweet_count,favorite_count,hashtags,media_type,user_mention,urls,quote_retweet_status
"That moment when @JBALVIN, @DUALIPA, @SanBenito, and @Tainy hop on a track together 🤩... 

Check out the music vide… https://t.co/3HBnR01X8C",2020-07-24 08:06:49+08:00,22,129,[],no_media,['JBALVIN'],True,False
@alinabaraz ❤️,2020-07-24 05:44:20+08:00,0,3,[],no_media,['alinabaraz'],False,False
@LittleMix We are ready. 🙌,2020-07-24 04:54:49+08:00,3,25,[],no_media,['LittleMix'],False,False
@onedirection @YouTube oh yes.,2020-07-24 02:34:49+08:00,3,104,[],no_media,['onedirection'],False,False
@onedirection @YouTube on repeat 🔁❤️,2020-07-23 23:20:02+08:00,7,107,[],no_media,['onedirection'],False,False
"Can you believe we've been blessed with 10 years of @onedirection? ❤️️

Take a look back on the boyband that stole… https://t.co/gDoVsjD9zG",2020-07-23 23:09:02+08:00,875,10785,[],no_media,['onedirection'],True,False
"In case you needed a reminder of how incredible @theweeknd is, the new music video for #Snowchild is here →… https://t.co/UwCZIr7wiB",2020-07-23 09:00:17+08:00,13,67,['Snowchild'],no_media,['theweeknd'],True,False
@AnneMarie ❤️,2020-07-23 01:21:04+08:00,0,12,[],no_media,['AnneMarie'],False,False
@billboard @sanbenito 🔥🔥🔥,2020-07-23 01:05:10+08:00,1,15,[],no_media,['billboard'],False,False
@DeclanMcKenna 👀🙌,2020-07-23 01:02:40+08:00,0,3,[],no_media,['DeclanMcKenna'],False,False
"“It feels good to be able to connect with people who don’t speak your language, and there you can see the power tha… https://t.co/KpdTnmZW4F",2020-07-22 23:00:26+08:00,78,601,[],no_media,[],True,False
"The Billion Views Club welcomes @Tyga 🏆🐅
Watch the music video for #TASTE ft. @OffsetYRN that's bringing all the hy… https://t.co/iF1VOkkwQB",2020-07-22 01:30:32+08:00,101,576,['TASTE'],no_media,['Tyga'],True,False
"The newest hottest videos you need to see this week are here.🎥🔥 

✔️@JheneAiko
✔️@POPSMOKE10, @50Cent &amp; @RoddyRicch… https://t.co/qbRPL8aVhw",2020-07-21 05:31:50+08:00,7,50,[],no_media,['JheneAiko'],True,False
"#BadBunny x #ArtistSpotlightStories x 7.22.20 
→ https://t.co/Cgme2HQ0Pe https://t.co/XNAOkwBxGD",2020-07-21 03:30:00+08:00,23,69,['BadBunny'],video,[],True,False
".@morgxn's new music video for #WONDER was created with the help of some amazing fans, &amp; it's hitting us right in t… https://t.co/tfWBCPk4Ji",2020-07-21 02:17:15+08:00,7,51,['WONDER'],no_media,['morgxn'],True,False
RT @beabad00bee: Omghhhh thank u @youtubemusic for making me their first artist on the rise for 2020 https://t.co/e21UU9jaDi,2020-07-21 00:22:01+08:00,175,0,[],photo,['beabad00bee'],False,False
🔴 [LIVE]: A very special #BobMarley75 set from @ziggymarley is streaming now → https://t.co/aVdcsg8FLb https://t.co/ed8ERkvh2v,2020-07-20 00:00:01+08:00,4,59,['BobMarley75'],photo,['ziggymarley'],True,False
🔴 [LIVE]: Marvin Gaye's absolutely iconic performance from 1980's @MontreuxJazz Festival is streaming now →… https://t.co/A5ud3ExMA8,2020-07-19 03:45:00+08:00,10,65,[],no_media,['MontreuxJazz'],True,False
"""My videos are such an important, personal part of what I do and to have them helping me reach more people with the… https://t.co/rqYsjs1mOJ",2020-07-19 03:11:33+08:00,39,363,[],no_media,[],True,False
".@alessiacara is here and she brought gifts 😇. 

Check out the eight new music videos for her new live EP… https://t.co/lZ8ol8sdlV",2020-07-19 00:12:53+08:00,34,178,[],no_media,['alessiacara'],True,False
"2 legends bringing us 2 hits. 💯
Check out #POPSTAR and #GREECE by @DjKhaled &amp; @Drake here → https://t.co/VZuKlqAlHv https://t.co/2j4MtgsXqO",2020-07-18 03:52:07+08:00,49,253,['POPSTAR'],video,['djkhaled'],True,False
"RELEASED is here &amp; it's looking 🔥. Featuring:

✔️ @djkhaled &amp; @Drake
✔️ @elliegoulding &amp; @serpentwithfeet
✔️… https://t.co/9TvZlZF9XA",2020-07-18 03:24:59+08:00,11,98,[],no_media,['djkhaled'],True,False
RT @reba: The countdown is on! #RebaLive streams tonight at 7 PM CT. Tune in and chat with Reba exclusively on @YouTube! https://t.co/JMLUI…,2020-07-18 01:55:32+08:00,120,0,['RebaLive'],no_media,['reba'],False,False
"Happy album release / world's biggest scooter day, @olivertree!! 

Tune in to the live stream now →… https://t.co/ENGjOttuud",2020-07-18 00:00:00+08:00,0,35,[],no_media,['Olivertree'],True,False
Celebrate #MC30 with this stream of... *gasps*... @MariahCarey's live debut performance from New York City in 1990… https://t.co/MUJnVnlkuy,2020-07-17 22:00:00+08:00,554,2689,['MC30'],no_media,['MariahCarey'],True,False
🔴 [PREMIERE]: @ksi is in the chat and ready to debut the video for Killa Killa [Thrilla Thrilla] feat. Aiyana-Lee → https://t.co/Qmc1RIcwIn,2020-07-17 21:55:00+08:00,7,175,[],no_media,['KSI'],True,False
"""It is maddening, surreal, twisted, and strangely reminiscent of my mind trapped in quarantine.” Check out @Tinashe… https://t.co/vdYpRQc9Bg",2020-07-17 12:11:44+08:00,69,218,[],no_media,['Tinashe'],True,False
"Experience #NotesOnAConditionalForm like never before ✨. 

Check out the incredible new series of visuals created b… https://t.co/Tfy9IU2Rqr",2020-07-17 03:32:25+08:00,4,47,['NotesOnAConditionalForm'],no_media,[],True,False
🔴 [LIVE]: Welcome to Another World 📡 @nickyromero's immersive virtual live show is starting now →… https://t.co/CK1JwVvmSi,2020-07-17 03:00:00+08:00,3,38,[],no_media,['nickyromero'],True,False
"🔴 [LIVE]: Two full days of panels, workshops, and performances for the independent creative community 🔗… https://t.co/5Y8JYrVNIE",2020-07-17 02:19:48+08:00,9,38,[],no_media,[],True,False
"The biggest corridos, norteño, banda and more are playing now on Pura Lumbre, featuring #LosDosCarnales,… https://t.co/Hao5G0omnR",2020-07-16 05:51:33+08:00,7,45,['LosDosCarnales'],no_media,[],True,False
😁 #SMILE 😁 KP5 is coming and we're here for it. Watch @katyperry's newest video here → https://t.co/iC0aRHq9bi https://t.co/02oGoIM6Ga,2020-07-16 04:30:07+08:00,692,4262,['SMILE'],video,['katyperry'],True,False
"Our #Foundry artist @ggm keeps bringing the heat.🔥 
Check out the new music video for #Aguita →… https://t.co/yQeebkjJVM",2020-07-15 00:08:32+08:00,13,74,['Foundry'],no_media,['ggm'],True,False
"Your go-to spot for this week's hottest new music videos. 🔥 Featuring: 

✔️ @JuiceWorlddd &amp; @marshmellomusic
✔️… https://t.co/6WkZEqXadv",2020-07-14 05:08:58+08:00,19,182,[],no_media,['JuiceWorlddd'],True,False
"Tunes you should jam to from down under in Sydney, check out #Foundry artists @limecordiale →… https://t.co/stpmASHlfi",2020-07-14 02:00:00+08:00,6,51,['Foundry'],no_media,['limecordiale'],True,False
"From the City of Angeles, vibe to the sounds of #Foundry artist @AdamMelchor → https://t.co/ntv3esqWDh https://t.co/msvPb0nAqk",2020-07-14 01:30:00+08:00,9,66,['Foundry'],video,['AdamMelchor'],True,False
"With sounds influenced by his roots in Mexico, check out #Foundry artist #NatanaelCano's collection of bangers →… https://t.co/yuaASNDeFf",2020-07-14 01:00:00+08:00,2,44,['Foundry'],no_media,[],True,False
"All the way from Paris, France, #Foundry artist @tessaae_ will soothe your soul with her amazing music. Check it ou… https://t.co/rA7r9jz3sY",2020-07-14 00:14:19+08:00,4,45,['Foundry'],no_media,['tessaae_'],True,False
RT @bts_bighit: Check out BTS' current favorite songs via our @youtubemusic playlists! Listen along here: https://t.co/CiaoIKlrBJ,2020-07-13 11:49:56+08:00,113167,0,[],no_media,['bts_bighit'],True,False
🔴 [LIVE]: @thechicks are streaming a full concert from their epic MMXVI tour 🙌 Watch now → https://t.co/vwiffGTgZY https://t.co/KZ4lF9msWg,2020-07-12 01:05:56+08:00,75,505,[],photo,['thechicks'],True,False
🔴 [LIVE]: @eltonofficial's Classic Concert Series continues with this iconic 1986 performance from the Sydney Enter… https://t.co/ZX5WjJaCzW,2020-07-12 00:00:00+08:00,5,30,[],no_media,['eltonofficial'],True,False
"🔴 [LIVE]: @thesonicyouth are taking us back to '93 🌀 Their set from Campo Pequeno in Lisbon, Portugal is streaming… https://t.co/SvMxPkbHk2",2020-07-11 03:00:00+08:00,39,174,[],no_media,['thesonicyouth'],True,False
"Another Friday 🙏 Today's RELEASED features new music from:

✔️ @KidCudi x @Eminem
✔️ @snohaalegra
✔️ @kanebrown x… https://t.co/zufBQT7jzl",2020-07-11 01:48:30+08:00,13,128,[],no_media,['KidCudi'],True,False
".@coldplay's debut studio album #Parachutes turns 20 today 🎉. 

Join us in celebrating by watching the newly remast… https://t.co/u0VctRyqFI",2020-07-11 00:00:01+08:00,59,370,['Parachutes'],no_media,['coldplay'],True,False
"We love a day that a new @DUALIPA music video drops✨. 

Check out the video for #Hallucinate &amp; tag a friend below w… https://t.co/Bp1hurvQ6m",2020-07-10 23:18:44+08:00,41,293,['Hallucinate'],no_media,['DUALIPA'],True,False
"Long Live @JuiceWorlddd #LLJW. 🕊️
Listen to his new album #LegendsNeverDie now → https://t.co/TaIokVRKSj https://t.co/UwwGOrrMDP",2020-07-10 12:02:01+08:00,21,97,['LLJW'],video,['JuiceWorlddd'],True,False
🔴 [LIVE]: Be part of this interactive concert 👋 @Genius x @wizkhalifa's #GeniusLive is starting now → https://t.co/udCmysukvI,2020-07-10 09:00:00+08:00,10,60,['GeniusLive'],no_media,['Genius'],True,False
"🔴 [LIVE]: @mymorningjacket is back with their first new album in five years, The Waterfall II. Tune into the listen… https://t.co/td4HhGqelY",2020-07-10 08:30:00+08:00,7,33,[],no_media,['mymorningjacket'],True,False
.@jdoreofficiel takes us on a journey to see the world like never before 🌎. Watch the video for #LaFievre →… https://t.co/80i3dvJj76,2020-07-10 01:07:11+08:00,16,89,['LaFievre'],no_media,['jdoreofficiel'],True,False
